0.3,0.8,28.0,0.86,1.0
0.3,0.8,28.0,0.86,1.0
0.3,0.79,28.0,0.8,0.6666666666666666
0.262,0.77,26.3,0.8,0.75
0.023,0.79,27.5,0.815,0.6
0.023,0.79,27.0,0.79,0.6666666666666666
0.023,0.79,27.5,0.815,0.5714285714285714
0.023,0.79,27.2,0.8,0.625
0.023,0.79,27.0,0.79,0.6666666666666666
0.023,0.79,27.0,0.79,0.7
0.023,0.79,27.0,0.79,0.7272727272727273
0.023,0.79,27.5,0.84,0.75
0.3,0.8,28.0,0.86,0.7692307692307693
0.3,0.8,28.0,0.86,0.7857142857142857
0.3,0.79,28.0,0.8,0.7333333333333333
0.023,0.79,27.0,0.79,0.75
0.023,0.79,27.5,0.815,0.7058823529411765
0.023,0.79,27.0,0.79,0.7222222222222222
0.023,0.79,27.5,0.815,0.6842105263157895
0.023,0.79,27.2,0.8,0.7
0.023,0.79,27.0,0.79,0.7142857142857143
0.023,0.79,27.0,0.79,0.7272727272727273
0.023,0.79,27.0,0.79,0.7391304347826086
0.023,0.79,27.5,0.84,0.75
0.3,0.8,28.0,0.86,0.76
0.3,0.8,28.0,0.86,0.7692307692307693
0.3,0.79,28.0,0.8,0.7407407407407407
0.023,0.79,27.0,0.79,0.75
0.023,0.79,27.5,0.815,0.7241379310344828
0.023,0.79,27.0,0.79,0.7333333333333333
0.023,0.79,27.5,0.815,0.7096774193548387
0.023,0.79,27.2,0.8,0.71875
0.023,0.79,27.0,0.79,0.7272727272727273
0.023,0.79,27.0,0.79,0.7352941176470589
0.023,0.79,27.0,0.79,0.7428571428571429
0.023,0.79,27.5,0.84,0.75
0.3,0.7,24.0,0.6,0.7567567567567568
0.023,0.79,27.0,0.79,0.7631578947368421
0.023,0.79,27.0,0.79,0.7692307692307693
0.023,0.79,27.2,0.8,0.775
0.023,0.79,27.5,0.815,0.7560975609756098
0.023,0.79,27.0,0.79,0.7619047619047619
0.023,0.79,27.5,0.815,0.7441860465116279
0.023,0.79,27.0,0.79,0.75
0.023,0.79,27.5,0.815,0.7333333333333333
