0.3,0.76,27.8,0.72,1.0
2.7009,0.78,27.0,0.8,0.5
0.262,0.78,27.0,0.8,0.3333333333333333
0.262,0.78,27.0,0.8,0.5
0.3,0.8,28.0,0.85,0.4
0.262,0.78,27.0,0.8,0.3333333333333333
0.262,0.78,27.0,0.8,0.42857142857142855
0.262,0.765,26.0,0.78,0.5
0.262,0.775,26.6,0.8,0.5555555555555556
0.262,0.78,27.0,0.8,0.6
0.262,0.78,27.0,0.8,0.5454545454545454
0.262,0.78,27.0,0.8,0.5
0.262,0.78,27.0,0.8,0.5384615384615384
0.3,0.8,28.0,0.85,0.5
0.262,0.78,27.0,0.8,0.4666666666666667
0.262,0.78,27.0,0.8,0.5
0.262,0.765,26.0,0.78,0.5294117647058824
0.262,0.775,26.6,0.8,0.5555555555555556
0.262,0.78,27.0,0.8,0.5789473684210527
0.262,0.78,27.0,0.8,0.55
0.262,0.78,27.0,0.8,0.5238095238095238
0.262,0.78,27.0,0.8,0.5454545454545454
0.3,0.8,28.0,0.85,0.5217391304347826
0.262,0.78,27.0,0.8,0.5
0.262,0.78,27.0,0.8,0.52
0.262,0.765,26.0,0.78,0.5384615384615384
0.262,0.775,26.6,0.8,0.5555555555555556
0.262,0.78,27.0,0.8,0.5714285714285714
0.262,0.78,27.0,0.8,0.5517241379310345
0.262,0.78,27.0,0.8,0.5333333333333333
0.262,0.78,27.0,0.8,0.5483870967741935
0.3,0.8,28.0,0.85,0.53125
0.262,0.78,27.0,0.8,0.5151515151515151
0.262,0.78,27.0,0.8,0.5294117647058824
0.262,0.765,26.0,0.78,0.5428571428571428
0.262,0.775,26.6,0.8,0.5555555555555556
0.262,0.78,27.0,0.8,0.5675675675675675
0.262,0.78,27.0,0.8,0.5526315789473685
0.262,0.78,27.0,0.8,0.5384615384615384
0.262,0.78,27.0,0.8,0.55
0.3,0.8,28.0,0.85,0.5365853658536586
0.262,0.78,27.0,0.8,0.5238095238095238
0.262,0.78,27.0,0.8,0.5348837209302325
0.262,0.765,26.0,0.78,0.5454545454545454
0.262,0.775,26.6,0.8,0.5555555555555556
